HomeTeam,AwayTeam,Score
Manchester United,Fulham,1 - 2
Arsenal,Newcastle United,4 - 1
AFC Bournemouth,Manchester City,0 - 1
Crystal Palace,Burnley,3 - 0
Liverpool FC,Luton Town F.C.,4 - 1
Manchester City,Brentford FC,1 - 0
Everton FC,Crystal Palace,1 - 1
Sheffield United FC,Brighton & Hove Albion,0 - 5
Luton Town F.C.,Manchester United,1 - 2
Brentford FC,Liverpool FC,1 - 4
Burnley,Arsenal,0 - 5
Manchester City,Chelsea FC,1 - 1
Newcastle United,AFC Bournemouth,2 - 2
Tottenham Hotspur,Wolverhampton Wanderers,1 - 2
Fulham,Aston Villa,1 - 2
Nottingham Forest,West Ham United,2 - 0
Crystal Palace,Chelsea FC,1 - 3
West Ham United,Arsenal,0 - 6
Aston Villa,Manchester United,1 - 2
Fulham,AFC Bournemouth,3 - 1
Luton Town F.C.,Sheffield United FC,1 - 3
Wolverhampton Wanderers,Brentford FC,0 - 2
Manchester City,Everton FC,2 - 0
Tottenham Hotspur,Brighton & Hove Albion,2 - 1
Liverpool FC,Burnley,3 - 1
Nottingham Forest,Newcastle United,2 - 3
Brentford FC,Manchester City,1 - 3
Arsenal,Liverpool FC,3 - 1
AFC Bournemouth,Nottingham Forest,1 - 1
Chelsea FC,Wolverhampton Wanderers,2 - 4
Manchester United,West Ham United,3 - 0
Burnley,Fulham,2 - 2
Newcastle United,Luton Town F.C.,4 - 4
Brighton & Hove Albion,Crystal Palace,4 - 1
Everton FC,Tottenham Hotspur,2 - 2
Sheffield United FC,Aston Villa,0 - 5
West Ham United,AFC Bournemouth,1 - 1
Wolverhampton Wanderers,Manchester United,3 - 4
Liverpool FC,Chelsea FC,4 - 1
Tottenham Hotspur,Brentford FC,3 - 2
Manchester City,Burnley,3 - 1
Fulham,Everton FC,0 - 0
Luton Town F.C.,Brighton & Hove Albion,4 - 0
Nottingham Forest,Arsenal,1 - 2
Crystal Palace,Sheffield United FC,3 - 2
Aston Villa,Newcastle United,1 - 3
Brighton & Hove Albion,Wolverhampton Wanderers,0 - 0
AFC Bournemouth,Liverpool FC,0 - 4
Sheffield United FC,West Ham United,2 - 2
Brentford FC,Nottingham Forest,3 - 2
Arsenal,Crystal Palace,5 - 0
Everton FC,Aston Villa,0 - 0
Manchester United,Tottenham Hotspur,2 - 2
Chelsea FC,Fulham,1 - 0
Newcastle United,Manchester City,2 - 3
Burnley,Luton Town F.C.,1 - 1
West Ham United,Brighton & Hove Albion,0 - 0
Liverpool FC,Newcastle United,4 - 2
Fulham,Arsenal,2 - 1
Tottenham Hotspur,AFC Bournemouth,3 - 1
Luton Town F.C.,Chelsea FC,2 - 3
Wolverhampton Wanderers,Everton FC,3 - 0
Crystal Palace,Brentford FC,3 - 1
Manchester City,Sheffield United FC,2 - 0
Nottingham Forest,Manchester United,2 - 1
Aston Villa,Burnley,3 - 2
Arsenal,West Ham United,0 - 2
Brighton & Hove Albion,Tottenham Hotspur,4 - 2
Brentford FC,Wolverhampton Wanderers,1 - 4
Chelsea FC,Crystal Palace,2 - 1
Everton FC,Manchester City,1 - 3
AFC Bournemouth,Fulham,3 - 0
Sheffield United FC,Luton Town F.C.,2 - 3
Burnley,Liverpool FC,0 - 2
Newcastle United,Nottingham Forest,1 - 3
Manchester United,Aston Villa,3 - 2
Wolverhampton Wanderers,Chelsea FC,2 - 1
Fulham,Burnley,0 - 2
Liverpool FC,Arsenal,1 - 1
Luton Town F.C.,Newcastle United,1 - 0
Nottingham Forest,AFC Bournemouth,2 - 3
Tottenham Hotspur,Everton FC,2 - 1
West Ham United,Manchester United,2 - 0
Aston Villa,Sheffield United FC,1 - 1
Crystal Palace,Brighton & Hove Albion,1 - 1
Arsenal,Brighton & Hove Albion,2 - 0
West Ham United,Wolverhampton Wanderers,3 - 0
Brentford FC,Aston Villa,1 - 2
Liverpool FC,Manchester United,0 - 0
Chelsea FC,Sheffield United FC,2 - 0
Burnley,Everton FC,0 - 2
Newcastle United,Fulham,3 - 0
Manchester City,Crystal Palace,2 - 2
Nottingham Forest,Tottenham Hotspur,0 - 2
Everton FC,Chelsea FC,2 - 0
Fulham,West Ham United,5 - 0
Luton Town F.C.,Manchester City,1 - 2
Tottenham Hotspur,Newcastle United,4 - 1
Sheffield United FC,Brentford FC,1 - 0
Wolverhampton Wanderers,Nottingham Forest,1 - 1
Aston Villa,Arsenal,1 - 0
Crystal Palace,Liverpool FC,1 - 2
Manchester United,AFC Bournemouth,0 - 3
Brighton & Hove Albion,Burnley,1 - 1
Everton FC,Newcastle United,3 - 0
Tottenham Hotspur,West Ham United,1 - 2
Brighton & Hove Albion,Brentford FC,2 - 1
Fulham,Nottingham Forest,5 - 0
Sheffield United FC,Liverpool FC,0 - 2
Crystal Palace,AFC Bournemouth,0 - 2
Manchester United,Chelsea FC,2 - 1
Aston Villa,Manchester City,1 - 0
Luton Town F.C.,Arsenal,3 - 4
Wolverhampton Wanderers,Burnley,1 - 0
Chelsea FC,Brighton & Hove Albion,3 - 2
Liverpool FC,Fulham,4 - 3
AFC Bournemouth,Aston Villa,2 - 2
Manchester City,Tottenham Hotspur,3 - 3
West Ham United,Crystal Palace,1 - 1
Arsenal,Wolverhampton Wanderers,2 - 1
Brentford FC,Luton Town F.C.,3 - 1
Nottingham Forest,Everton FC,0 - 1
Burnley,Sheffield United FC,5 - 0
Newcastle United,Manchester United,1 - 0
Fulham,Wolverhampton Wanderers,3 - 2
Everton FC,Manchester United,0 - 3
Tottenham Hotspur,Aston Villa,1 - 2
Brentford FC,Arsenal,0 - 1
Nottingham Forest,Brighton & Hove Albion,2 - 3
Sheffield United FC,AFC Bournemouth,1 - 3
Manchester City,Liverpool FC,1 - 1
Newcastle United,Chelsea FC,4 - 1
Luton Town F.C.,Crystal Palace,2 - 1
Burnley,West Ham United,1 - 2
Brighton & Hove Albion,Sheffield United FC,1 - 1
Liverpool FC,Brentford FC,3 - 0
Aston Villa,Fulham,3 - 1
West Ham United,Nottingham Forest,3 - 2
Chelsea FC,Manchester City,4 - 4
Crystal Palace,Everton FC,2 - 3
Manchester United,Luton Town F.C.,1 - 0
Arsenal,Burnley,3 - 1
AFC Bournemouth,Newcastle United,2 - 0
Wolverhampton Wanderers,Tottenham Hotspur,2 - 1
Tottenham Hotspur,Chelsea FC,1 - 4
Luton Town F.C.,Liverpool FC,1 - 1
Nottingham Forest,Aston Villa,2 - 0
Everton FC,Brighton & Hove Albion,1 - 1
Sheffield United FC,Wolverhampton Wanderers,2 - 1
Manchester City,AFC Bournemouth,6 - 1
Newcastle United,Arsenal,1 - 0
Brentford FC,West Ham United,3 - 2
Fulham,Manchester United,0 - 1
Burnley,Crystal Palace,0 - 2
Brighton & Hove Albion,Fulham,1 - 1
Liverpool FC,Nottingham Forest,3 - 0
Aston Villa,Luton Town F.C.,3 - 1
West Ham United,Everton FC,0 - 1
Manchester United,Manchester City,0 - 3
Arsenal,Sheffield United FC,5 - 0
Chelsea FC,Brentford FC,0 - 2
AFC Bournemouth,Burnley,2 - 1
Wolverhampton Wanderers,Newcastle United,2 - 2
Crystal Palace,Tottenham Hotspur,1 - 2
Tottenham Hotspur,Fulham,2 - 0
Aston Villa,West Ham United,4 - 1
AFC Bournemouth,Wolverhampton Wanderers,1 - 2
Chelsea FC,Arsenal,2 - 2
Liverpool FC,Everton FC,2 - 0
Nottingham Forest,Luton Town F.C.,2 - 2
Manchester City,Brighton & Hove Albion,2 - 1
Brentford FC,Burnley,3 - 0
Sheffield United FC,Manchester United,1 - 2
Newcastle United,Crystal Palace,4 - 0
Brighton & Hove Albion,Liverpool FC,2 - 2
Arsenal,Manchester City,1 - 0
Wolverhampton Wanderers,Aston Villa,1 - 1
West Ham United,Newcastle United,2 - 2
Everton FC,AFC Bournemouth,3 - 0
Fulham,Sheffield United FC,3 - 1
