HomeTeam,AwayTeam,Score,Result
West Ham,Bournemouth,1 - 1,0
Wolves,Man United,3 - 4,0
Liverpool,Chelsea,4 - 1,1
Tottenham,Brentford,3 - 2,1
Man City,Burnley,3 - 1,1
Fulham,Everton,0 - 0,0
Luton Town,Brighton,4 - 0,1
Nottm Forrest,Arsenal,1 - 2,0
Crystal Palace,Sheffield United,3 - 2,1
Aston Villa,Newcastle,1 - 3,0
Brighton,Wolves,0 - 0,0
Bournemouth,Liverpool,0 - 4,0
Sheffield United,West Ham,2 - 2,0
Brentford,Nottm Forrest,3 - 2,1
Arsenal,Crystal Palace,5 - 0,1
Everton,Aston Villa,0 - 0,0
Man United,Tottenham,2 - 2,0
Chelsea,Fulham,1 - 0,1
Newcastle,Man City,2 - 3,0
Burnley,Luton Town,1 - 1,0
West Ham,Brighton,0 - 0,0
Liverpool,Newcastle,4 - 2,1
Fulham,Arsenal,2 - 1,1
Tottenham,Bournemouth,3 - 1,1
Luton Town,Chelsea,2 - 3,0
Wolves,Everton,3 - 0,1
Crystal Palace,Brentford,3 - 1,1
Man City,Sheffield United,2 - 0,1
Nottm Forrest,Man United,2 - 1,1
Aston Villa,Burnley,3 - 2,1
Arsenal,West Ham,0 - 2,0
Brighton,Tottenham,4 - 2,1
Brentford,Wolves,1 - 4,0
Chelsea,Crystal Palace,2 - 1,1
Everton,Man City,1 - 3,0
Bournemouth,Fulham,3 - 0,1
Sheffield United,Luton Town,2 - 3,0
Burnley,Liverpool,0 - 2,0
Newcastle,Nottm Forrest,1 - 3,0
Man United,Aston Villa,3 - 2,1
Wolves,Chelsea,2 - 1,1
Fulham,Burnley,0 - 2,0
Liverpool,Arsenal,1 - 1,0
Luton Town,Newcastle,1 - 0,1
Nottm Forrest,Bournemouth,2 - 3,0
Tottenham,Everton,2 - 1,1
West Ham,Man United,2 - 0,1
Aston Villa,Sheffield United,1 - 1,0
Crystal Palace,Brighton,1 - 1,0
Arsenal,Brighton,2 - 0,1
West Ham,Wolves,3 - 0,1
Brentford,Aston Villa,1 - 2,0
Liverpool,Man United,0 - 0,0
Chelsea,Sheffield United,2 - 0,1
Burnley,Everton,0 - 2,0
Newcastle,Fulham,3 - 0,1
Man City,Crystal Palace,2 - 2,0
Nottm Forrest,Tottenham,0 - 2,0
Everton,Chelsea,2 - 0,1
Fulham,West Ham,5 - 0,1
Luton Town,Man City,1 - 2,0
Tottenham,Newcastle,4 - 1,1
Sheffield United,Brentford,1 - 0,1
Wolves,Nottm Forrest,1 - 1,0
Aston Villa,Arsenal,1 - 0,1
Crystal Palace,Liverpool,1 - 2,0
Man United,Bournemouth,0 - 3,0
Brighton,Burnley,1 - 1,0
Everton,Newcastle,3 - 0,1
Tottenham,West Ham,1 - 2,0
Brighton,Brentford,2 - 1,1
Fulham,Nottm Forrest,5 - 0,1
Sheffield United,Liverpool,0 - 2,0
Crystal Palace,Bournemouth,0 - 2,0
Man United,Chelsea,2 - 1,1
Aston Villa,Man City,1 - 0,1
Luton Town,Arsenal,3 - 4,0
Wolves,Burnley,1 - 0,1
Chelsea,Brighton,3 - 2,1
Liverpool,Fulham,4 - 3,1
Bournemouth,Aston Villa,2 - 2,0
Man City,Tottenham,3 - 3,0
West Ham,Crystal Palace,1 - 1,0
Arsenal,Wolves,2 - 1,1
Brentford,Luton Town,3 - 1,1
Nottm Forrest,Everton,0 - 1,0
Burnley,Sheffield United,5 - 0,1
Newcastle,Man United,1 - 0,1
Fulham,Wolves,3 - 2,1
Everton,Man United,0 - 3,0
Tottenham,Aston Villa,1 - 2,0
Brentford,Arsenal,0 - 1,0
Nottm Forrest,Brighton,2 - 3,0
Sheffield United,Bournemouth,1 - 3,0
Man City,Liverpool,1 - 1,0
Newcastle,Chelsea,4 - 1,1
Luton Town,Crystal Palace,2 - 1,1
Burnley,West Ham,1 - 2,0
Brighton,Sheffield United,1 - 1,0
Liverpool,Brentford,3 - 0,1
Aston Villa,Fulham,3 - 1,1
West Ham,Nottm Forrest,3 - 2,1
Chelsea,Man City,4 - 4,0
Crystal Palace,Everton,2 - 3,0
Man United,Luton Town,1 - 0,1
Arsenal,Burnley,3 - 1,1
Bournemouth,Newcastle,2 - 0,1
Wolves,Tottenham,2 - 1,1
Tottenham,Chelsea,1 - 4,0
Luton Town,Liverpool,1 - 1,0
Nottm Forrest,Aston Villa,2 - 0,1
Everton,Brighton,1 - 1,0
Sheffield United,Wolves,2 - 1,1
Man City,Bournemouth,6 - 1,1
Newcastle,Arsenal,1 - 0,1
Brentford,West Ham,3 - 2,1
Fulham,Man United,0 - 1,0
Burnley,Crystal Palace,0 - 2,0
Brighton,Fulham,1 - 1,0
Liverpool,Nottm Forrest,3 - 0,1
Aston Villa,Luton Town,3 - 1,1
West Ham,Everton,0 - 1,0
Man United,Man City,0 - 3,0
Arsenal,Sheffield United,5 - 0,1
Chelsea,Brentford,0 - 2,0
Bournemouth,Burnley,2 - 1,1
Wolves,Newcastle,2 - 2,0
Crystal Palace,Tottenham,1 - 2,0
Tottenham,Fulham,2 - 0,1
Aston Villa,West Ham,4 - 1,1
Bournemouth,Wolves,1 - 2,0
Chelsea,Arsenal,2 - 2,0
Liverpool,Everton,2 - 0,1
Nottm Forrest,Luton Town,2 - 2,0
Man City,Brighton,2 - 1,1
Brentford,Burnley,3 - 0,1
Sheffield United,Man United,1 - 2,0
Newcastle,Crystal Palace,4 - 0,1
Brighton,Liverpool,2 - 2,0
Arsenal,Man City,1 - 0,1
Wolves,Aston Villa,1 - 1,0
West Ham,Newcastle,2 - 2,0
Everton,Bournemouth,3 - 0,1
Fulham,Sheffield United,3 - 1,1
Burnley,Chelsea,1 - 4,0
Crystal Palace,Nottm Forrest,0 - 0,0
Man United,Brentford,2 - 1,1
Luton Town,Tottenham,0 - 1,0
Luton Town,Burnley,1 - 2,0
Fulham,Chelsea,0 - 2,0
Nottm Forrest,Brentford,1 - 1,0
Bournemouth,Arsenal,0 - 4,0
Everton,Luton Town,1 - 2,0
Aston Villa,Brighton,6 - 1,1
Tottenham,Liverpool,2 - 1,1
West Ham,Sheffield United,2 - 0,1
Wolves,Man City,2 - 1,1
Man United,Crystal Palace,0 - 1,0
Newcastle,Burnley,2 - 0,1
